zip,lat,lng,city,country_code,tz_id,state,state_code
99125,46.9364,-117.723,Endicott,US,America/Los_Angeles,Washington,WA
98266,48.9533,-122.1283,"Maple Falls",US,America/Los_Angeles,Washington,WA
99329,46.1408,-118.1531,Dixie,US,America/Los_Angeles,Washington,WA
99167,48.4062,-118.1249,Rice,US,America/Los_Angeles,Washington,WA
99110,48.0071,-117.5579,Clayton,US,America/Los_Angeles,Washington,WA
99027,47.7027,-117.1121,"Otis Orchards",US,America/Los_Angeles,Washington,WA
99014,47.5599,-117.5958,"Four Lakes",US,America/Los_Angeles,Washington,WA
98284,48.5274,-122.2329,"Sedro Woolley",US,America/Los_Angeles,Washington,WA
98235,48.4701,-122.2388,Clearlake,US,America/Los_Angeles,Washington,WA
98245,48.6968,-122.9055,Eastsound,US,America/Los_Angeles,Washington,WA
98396,47.1095,-122.037,Wilkeson,US,America/Los_Angeles,Washington,WA
98304,46.7531,-121.9898,Ashford,US,America/Los_Angeles,Washington,WA
98554,46.5614,-123.5479,Lebam,US,America/Los_Angeles,Washington,WA
98846,48.034,-119.9785,Pateros,US,America/Los_Angeles,Washington,WA
99185,47.741,-118.7063,Wilbur,US,America/Los_Angeles,Washington,WA
99008,47.5379,-117.9071,Edwall,US,America/Los_Angeles,Washington,WA
98544,46.7423,-123.0271,Galvin,US,America/Los_Angeles,Washington,WA
98628,45.8171,-121.1526,Klickitat,US,America/Los_Angeles,Washington,WA
98943,47.1886,-120.9537,"South Cle Elum",US,America/Los_Angeles,Washington,WA
98384,47.5218,-122.5396,"South Colby",US,America/Los_Angeles,Washington,WA
98490,47.2061,-122.4822,Tacoma,US,America/Los_Angeles,Washington,WA
98190,47.6062,-122.3321,Seattle,US,America/Los_Angeles,Washington,WA
98166,47.4511,-122.353,Seattle,US,America/Los_Angeles,Washington,WA
98145,47.6062,-122.3321,Seattle,US,America/Los_Angeles,Washington,WA
98058,47.4465,-122.1216,Renton,US,America/Los_Angeles,Washington,WA
98310,47.6019,-122.6299,Bremerton,US,America/Los_Angeles,Washington,WA
98073,47.674,-122.1215,Redmond,US,America/Los_Angeles,Washington,WA
98037,47.8392,-122.2855,Lynnwood,US,America/Los_Angeles,Washington,WA
98228,48.7596,-122.4882,Bellingham,US,America/Los_Angeles,Washington,WA
98953,46.4158,-120.2662,Zillah,US,America/Los_Angeles,Washington,WA
98508,47.0379,-122.9007,Olympia,US,America/Los_Angeles,Washington,WA
98640,46.5029,-124.0436,"Ocean Park",US,America/Los_Angeles,Washington,WA
98270,48.0656,-122.1562,Marysville,US,America/Los_Angeles,Washington,WA
98907,46.6288,-120.574,Yakima,US,America/Los_Angeles,Washington,WA
98579,46.8193,-123.0406,Rochester,US,America/Los_Angeles,Washington,WA
98338,47.0246,-122.2936,Graham,US,America/Los_Angeles,Washington,WA
98373,47.1284,-122.3219,Puyallup,US,America/Los_Angeles,Washington,WA
98346,47.8108,-122.5255,Kingston,US,America/Los_Angeles,Washington,WA
98356,46.5581,-122.2496,Morton,US,America/Los_Angeles,Washington,WA
99251,47.6536,-117.4317,Spokane,US,America/Los_Angeles,Washington,WA
99214,47.6536,-117.4317,Spokane,US,America/Los_Angeles,Washington,WA
98294,47.8589,-121.7369,Sultan,US,America/Los_Angeles,Washington,WA
98014,47.638,-121.9111,Carnation,US,America/Los_Angeles,Washington,WA
98207,47.979,-122.2021,Everett,US,America/Los_Angeles,Washington,WA
98812,48.1206,-119.772,Brewster,US,America/Los_Angeles,Washington,WA
98042,47.368,-122.1206,Kent,US,America/Los_Angeles,Washington,WA
99157,48.9247,-117.7931,Northport,US,America/Los_Angeles,Washington,WA
99026,47.8019,-117.5894,"Nine Mile Falls",US,America/Los_Angeles,Washington,WA
99012,47.3987,-117.1921,Fairfield,US,America/Los_Angeles,Washington,WA
98293,47.8703,-121.7685,Startup,US,America/Los_Angeles,Washington,WA
98259,48.152,-122.2074,"North Lakewood",US,America/Los_Angeles,Washington,WA
98283,48.4704,-121.5554,Rockport,US,America/Los_Angeles,Washington,WA
98243,48.6201,-122.9999,"Deer Harbor",US,America/Los_Angeles,Washington,WA
98303,47.1563,-122.7067,"Anderson Island",US,America/Los_Angeles,Washington,WA
98638,46.3528,-123.8044,Naselle,US,America/Los_Angeles,Washington,WA
98527,46.6315,-123.9549,"Bay Center",US,America/Los_Angeles,Washington,WA
98592,47.3368,-123.075,Union,US,America/Los_Angeles,Washington,WA
99159,47.3395,-118.6983,Odessa,US,America/Los_Angeles,Washington,WA
98542,46.53,-122.724,Ethel,US,America/Los_Angeles,Washington,WA
98355,46.7096,-122.1861,Mineral,US,America/Los_Angeles,Washington,WA
98623,45.8076,-121.4877,Husum,US,America/Los_Angeles,Washington,WA
98941,47.2233,-121.0025,Roslyn,US,America/Los_Angeles,Washington,WA
98345,47.698,-122.6255,Keyport,US,America/Los_Angeles,Washington,WA
98013,47.389,-122.4607,Burton,US,America/Los_Angeles,Washington,WA
98844,48.9397,-119.4032,Oroville,US,America/Los_Angeles,Washington,WA
98481,47.2529,-122.4443,Tacoma,US,America/Los_Angeles,Washington,WA
98188,47.4483,-122.2731,Seattle,US,America/Los_Angeles,Washington,WA
98165,47.7161,-122.3004,Seattle,US,America/Los_Angeles,Washington,WA
98144,47.5846,-122.3005,Seattle,US,America/Los_Angeles,Washington,WA
98057,47.4714,-122.2203,Renton,US,America/Los_Angeles,Washington,WA
98072,47.7684,-122.1271,Woodinville,US,America/Los_Angeles,Washington,WA
98036,47.8049,-122.2855,Lynnwood,US,America/Los_Angeles,Washington,WA
98335,47.3002,-122.6084,"Gig Harbor",US,America/Los_Angeles,Washington,WA
99324,46.0471,-118.4093,"College Place",US,America/Los_Angeles,Washington,WA
98041,47.7623,-122.2054,Bothell,US,America/Los_Angeles,Washington,WA
98110,47.6478,-122.538,"Bainbridge Island",US,America/Los_Angeles,Washington,WA
98227,48.7596,-122.4882,Bellingham,US,America/Los_Angeles,Washington,WA
98002,47.305,-122.2067,Auburn,US,America/Los_Angeles,Washington,WA
99164,46.7313,-117.1796,Pullman,US,America/Los_Angeles,Washington,WA
98507,47.0379,-122.9007,Olympia,US,America/Los_Angeles,Washington,WA
98935,46.2121,-120.0151,Mabton,US,America/Los_Angeles,Washington,WA
99109,48.2876,-117.7754,Chewelah,US,America/Los_Angeles,Washington,WA
98233,48.4786,-122.3345,Burlington,US,America/Los_Angeles,Washington,WA
98904,46.5645,-120.6947,Yakima,US,America/Los_Angeles,Washington,WA
98395,47.379,-122.6426,Wauna,US,America/Los_Angeles,Washington,WA
98372,47.2042,-122.2734,Puyallup,US,America/Los_Angeles,Washington,WA
98383,47.6621,-122.6981,Silverdale,US,America/Los_Angeles,Washington,WA
98596,46.494,-122.9158,Winlock,US,America/Los_Angeles,Washington,WA
82723,43.999,-104.4226,Osage,US,America/Denver,Wyoming,WY
25875,37.6033,-81.54,"Mc Graws",US,America/New_York,"West Virginia",WV
24845,37.5221,-81.8043,"Ikes Fork",US,America/New_York,"West Virginia",WV
26138,39.0338,-81.1775,Brohard,US,America/New_York,"West Virginia",WV
26162,39.5798,-80.7762,"Porters Falls",US,America/New_York,"West Virginia",WV
26203,38.5419,-80.5742,Erbacon,US,America/New_York,"West Virginia",WV
25517,38.1321,-82.4183,Genoa,US,America/New_York,"West Virginia",WV
26219,38.8993,-80.2269,Frenchton,US,America/New_York,"West Virginia",WV
26292,39.1505,-79.503,Thomas,US,America/New_York,"West Virginia",WV
26347,39.2665,-80.132,Flemington,US,America/New_York,"West Virginia",WV
24935,37.5608,-80.8111,"Forest Hill",US,America/New_York,"West Virginia",WV
26294,38.5315,-80.0343,"Valley Head",US,America/New_York,"West Virginia",WV
26268,38.7534,-79.8147,Glady,US,America/New_York,"West Virginia",WV
26187,39.3824,-81.4566,Williamstown,US,America/New_York,"West Virginia",WV
26415,39.2791,-81.0019,Pennsboro,US,America/New_York,"West Virginia",WV
54927,44.1031,-88.6539,"Butte Des Morts",US,America/Chicago,Wisconsin,WI
54967,44.131,-88.9836,"Poy Sippi",US,America/Chicago,Wisconsin,WI
54962,44.4268,-88.9932,Ogdensburg,US,America/Chicago,Wisconsin,WI
53127,42.9601,-88.3745,"Genesee Depot",US,America/Chicago,Wisconsin,WI
54554,46.0645,-89.0815,Phelps,US,America/Chicago,Wisconsin,WI
54658,43.6912,-91.1919,Stoddard,US,America/Chicago,Wisconsin,WI
